"编号","歌名","歌手","语言","曲风","点歌类型"
"068","吉祥话","hanser / 泠鸢yousa / 祖娅纳惜 / 鹿乃","中文","华语流行","免费"
"069","无限速","本兮 / 阿悄","中文","华语流行","免费"
"070","小爱情","梁静茹","中文","华语流行","免费"
"071","一个人","韩红","中文","华语流行","免费"
"072","那个人","周延英（英子-effie）","中文","华语流行","免费"
"073","夜航星","星尘;洛天依","中文","华语流行","免费"
"074","凑热闹","BY2","中文","华语流行","免费"
"075","爱存在","魏奇奇","中文","华语流行","免费"
"076","人世间","雷佳","中文","华语流行","免费"
"077","黄昏晓","王心凌","中文","华语流行","免费"
"078","我要你","任素汐","中文","华语流行","免费"
"079","胡广生","任素汐","中文","华语流行","免费"
"080","她也曾","肖倾月","中文","华语流行","免费"
"081","芦苇飞","泡芙芙Scarlett","中文","华语流行","免费"
"082","喜欢你","BEYOND","中文","华语流行","免费"
"083","敕勒歌","葱香科学家（王悠然）","中文","华语流行","免费"
"084","从前说","小阿七","中文","华语流行","免费"
"085","笑忘书","王菲","中文","华语流行","免费"
"086","那片海","韩红","中文","华语流行","免费"
"087","你会在","尹昔眠","中文","华语流行","免费"
"088","我太笨","锤娜丽莎","中文","华语流行","免费"
"089","心之火","F.I.R.飞儿乐团 / 彭佳慧","中文","华语流行","免费"
"090","萱草花","张小斐","中文","华语流行","免费"
"091","说说话","王靖雯","中文","华语流行","免费"
"092","梦回还","呦猫UNEKO","中文","华语流行","免费"
"093","醉清风","弦子","中文","华语流行","免费"
"094","桃花诺","G.E.M. 邓紫棋","中文","华语流行","免费"
"095","起风了","周深","中文","华语流行","免费"
"096","恶作剧","王蓝茵","中文","华语流行","免费"
"097","天亮了","韩红","中文","华语流行","免费"
"098","九尾狐","DJ鬼鬼于航","中文","华语流行","免费"
"099","带我走","杨丞琳","中文","华语流行","免费"
"100","云与海","阿YueYue","中文","华语流行","免费"
"101","谭某某","非同凡响","中文","华语流行","免费"
"102","但求疼","谭维维","中文","华语流行","免费"
"103","望故乡","文夫","中文","华语流行","免费"
"104","月牙湾","F.I.R.飞儿乐团","中文","华语流行","免费"
"105","霸王别姬","薛之谦 / 张靓颖","中文","华语流行","免费"
"106","人世之歌","韩红","中文","华语流行","免费"
"107","春意红包","祖娅纳惜;泠鸢yousa;小缘;洛萱;蔡明希-不才;三无Marblue","中文","华语流行","免费"
"108","风中奇缘","西单女孩","中文","华语流行","免费"
"109","爱情讯息","郭静","中文","华语流行","免费"
"110","无名的人","毛不易","中文","华语流行","免费"
"111","一等情事","许一鸣","中文","华语流行","免费"
"112","巴拉莱卡","柯奇 / 明唐","中文","华语流行","免费"
"113","三寸日光","荔_芝","中文","华语流行","免费"
"114","热烈盛开","周深","中文","华语流行","免费"
"115","甲乙丙丁","江易泽","中文","华语流行","免费"
"116","相依为命","RU","中文","华语流行","免费"
"117","习惯失恋","容祖儿","中文","华语流行","免费"
"118","城北的花","王宇宙Leto / 乔浚丞","中文","华语流行","免费"
"119","大雨将至","徐佳莹","中文","华语流行","免费"
"120","朝朝如念","Joysaaaa","中文","华语流行","免费"
"121","没有如果","梁静茹 / 严爵","中文","华语流行","免费"
"122","爱的魔法","金莎","中文","华语流行","免费"
"123","分手快乐","梁静茹","中文","华语流行","免费"
"124","爱的天国","王心凌","中文","华语流行","免费"
"125","花的嫁纱","王心凌","中文","华语流行","免费"
"126","爱似水仙","金海心","中文","华语流行","免费"
"127","不知所措","王靖雯","中文","华语流行","免费"
"128","开始懂了","孙燕姿","中文","华语流行","免费"
"129","我的美丽","小霞","中文","华语流行","免费"
"130","天下无双","张靓颖","中文","华语流行","免费"
"131","一路生花","温奕心","中文","华语流行","免费"
"132","恋爱画板","锦零","中文","华语流行","免费"
"133","路过人间","郁可唯","中文","华语流行","免费"
"134","你在不在","郭采洁","中文","华语流行","免费"
"135","和你一样","李宇春","中文","华语流行","免费"
"136","字字句句","卢卢快闭嘴","中文","华语流行","免费"
"137","光的方向","张碧晨","中文","华语流行","免费"
"138","连名带姓","张惠妹","中文","华语流行","免费"
"139","星辰大海","黄霄雲","中文","华语流行","免费"
"140","夏天的风","温岚","中文","华语流行","免费"
"141","想起了你","程响","中文","华语流行","免费"
"142","身骑白马","徐佳莹","中文","华语流行","免费"
"143","钱来钱来","宋盐球","中文","华语流行","免费"
"144","霓虹甜心","马赛克乐队","中文","华语流行","免费"
"145","光年之外","G.E.M. 邓紫棋","中文","华语流行","免费"
"146","最后一页","江语晨","中文","华语流行","免费"
"147","匆匆那年","王菲","中文","华语流行","免费"
"148","爱丫爱丫","BY2","中文","华语流行","免费"
"149","忽远忽近","王唯一","中文","华语流行","免费"
"150","脱线木偶","兰兰","中文","华语流行","免费"
"151","恋爱告急","鞠婧祎","中文","华语流行","免费"
"152","那么骄傲","胡星冉","中文","华语流行","免费"
"153","星月神话","金莎","中文","华语流行","免费"
"154","不怕不怕","美美jocie","中文","华语流行","免费"
"155","我们的爱","F.I.R.飞儿乐团","中文","华语流行","免费"
"156","再见卡门","阿朵","中文","华语流行","免费"
"157","睫毛弯弯","王心凌","中文","华语流行","免费"
"158","炸山姑娘","七音盒","中文","华语流行","免费"
"159","DaDaDa","王心凌","中文","华语流行","免费"
"160","我怀念的","孙燕姿","中文","华语流行","免费"
"161","空空如也","任然","中文","华语流行","免费"
"162","国王的餐桌","映羽 / 花宫瑞","中文","华语流行","免费"
"163","我们的纪念","李雅微","中文","华语流行","免费"
"164","遗憾也值得","王靖雯","中文","华语流行","免费"
"165","免我蹉跎苦","黄龄","中文","华语流行","免费"
"166","彩虹的微笑","王心凌","中文","华语流行","免费"
"167","下一个天亮","郭静","中文","华语流行","免费"
"168","如果爱下去","张靓颖","中文","华语流行","免费"
"169","一个人生活","林凡Freya","中文","华语流行","免费"
"170","可惜不是你","梁静茹","中文","华语流行","免费"
"171","把耳朵叫醒","金海心","中文","华语流行","免费"
"172","我的未来式","郭采洁","中文","华语流行","免费"
"173","爱意随风起","ycccc","中文","华语流行","免费"
"174","大叔不要跑","胡艾彤喂猪吗","中文","华语流行","免费"
"175","如果爱忘了","戚薇","中文","华语流行","免费"
"176","我超喜欢你","欧阳朵","中文","华语流行","免费"
"177","会开花的云","王樾安","中文","华语流行","免费"
"178","可以不是你","戴羽彤","中文","华语流行","免费"
"179","离别开出花","杨坤","中文","华语流行","免费"
"180","想你时风起","单依纯","中文","华语流行","免费"
"181","等着我回来","戴羽彤","中文","华语流行","免费"
"182","我会好好的","王心凌","中文","华语流行","免费"
"183","谢谢你爱我","于文文","中文","华语流行","免费"
"184","直到你降临","阿肆","中文","华语流行","免费"
"185","红色高跟鞋","蔡健雅","中文","华语流行","免费"
"186","小手拉大手","梁静茹","中文","华语流行","免费"
"187","没那么简单","黄小琥","中文","华语流行","免费"
"188","血腥爱情故事","张惠妹","中文","华语流行","免费"
"189","推开世界的门","杨乃文","中文","华语流行","免费"
"190","给你一点颜色","董彩霞","中文","华语流行","免费"
"191","乌兰巴托的夜","索南吉","中文","华语流行","免费"
"192","走不出这大雨","单循","中文","华语流行","免费"
"193","我不配你要的","PAX","中文","华语流行","免费"
"194","阿拉斯加海湾","蓝心羽","中文","华语流行","免费"
"195","只对你有感觉","飞轮海 / 田馥甄","中文","华语流行","免费"
"196","在故事的最终","陆怜","中文","华语流行","免费"
"197","怨苍天变了心","方季惟","中文","华语流行","免费"
"198","烟火里的尘埃","黄霄雲","中文","华语流行","免费"
"199","负重一万斤长大","太一","中文","华语流行","免费"
"200","来自天堂的魔鬼","G.E.M. 邓紫棋","中文","华语流行","免费"
"201","我曾遇到一束光","叶斯淳","中文","华语流行","免费"
"202","为你我受冷风吹","林忆莲","中文","华语流行","免费"
"203","爱你不是两三天","梁静茹","中文","华语流行","免费"
"204","满天星辰不及你","ycccc","中文","华语流行","免费"
"205","风中有朵雨做的云","孟庭苇","中文","华语流行","免费"
"206","月亮不曾奔我而来","好多倩","中文","华语流行","免费"
"207","给我一个理由忘记","A-Lin","中文","华语流行","免费"
"208","还是你的笑容最可爱","音阙诗听 / 泠鸢yousa / 王梓钰","中文","华语流行","免费"
"209","如何不再让我去想你","井迪","中文","华语流行","免费"
"210","囍","葛东琪","中文","国风 / 古风流行","免费"
"211","兰","孟可 / 吕亮","中文","国风 / 古风流行","免费"
"212","落","侯明昊","中文","国风 / 古风流行","免费"
"213","宿","廖静媛","中文","国风 / 古风流行","免费"
"214","锁","TF_ING张子墨","中文","国风 / 古风流行","免费"
"215","荒","郑鱼","中文","国风 / 古风流行","免费"
"216","敢","袁娅维TIA RAY","中文","国风 / 古风流行","免费"
"217","骁","井胧 / 井迪","中文","国风 / 古风流行","免费"
"218","夜奔","黄诗扶","中文","国风 / 古风流行","免费"
"219","聘书","太痕","中文","国风 / 古风流行","免费"
"220","太极","邓伟标","中文","国风 / 古风流行","免费"
"221","昭阳","祖娅纳惜 / 三无Marblue","中文","国风 / 古风流行","免费"
"222","轻舞","陈抒妮","中文","国风 / 古风流行","免费"
"223","春迟","小时姑娘","中文","国风 / 古风流行","免费"
"224","卜卦","崔子格","中文","国风 / 古风流行","免费"
"225","遇莹","七粒七","中文","国风 / 古风流行","免费"
"226","知我","安子须","中文","国风 / 古风流行","免费"
"227","惊鹊","海伊 / 星尘Minus","中文","国风 / 古风流行","免费"
"228","爱殇","小时姑娘","中文","国风 / 古风流行","免费"
"229","大喜","泠鸢yousa / 音阙诗听","中文","国风 / 古风流行","免费"
"230","走卒","海伦","中文","国风 / 古风流行","免费"
"231","昔言","hita","中文","国风 / 古风流行","免费"
"232","她征","玥夏","中文","国风 / 古风流行","免费"
"233","月光","胡彦斌","中文","国风 / 古风流行","免费"
"234","春涧","浅影阿","中文","国风 / 古风流行","免费"
"235","寻屿","阿YueYue","中文","国风 / 古风流行","免费"
"236","下山","徐泽（要不要买菜）","中文","国风 / 古风流行","免费"
"237","武当","邓寓君(等什么君)","中文","国风 / 古风流行","免费"
"238","怎叹","郑鱼","中文","国风 / 古风流行","免费"
"239","赐我","一只白羊","中文","国风 / 古风流行","免费"
"240","赤伶","HITA","中文","国风 / 古风流行","免费"
"241","栖凰","星尘 / 忘川风华录","中文","国风 / 古风流行","免费"
"242","谪仙","伊格赛听 / 叶里","中文","国风 / 古风流行","免费"
"243","拜月","麦振鸿","中文","国风 / 古风流行","免费"
"244","青衣","草帽酱","中文","国风 / 古风流行","免费"
"245","青丝","时光胶囊","中文","国风 / 古风流行","免费"
"246","相思","毛阿敏","中文","国风 / 古风流行","免费"
"247","招娣","周林枫","中文","国风 / 古风流行","免费"
"248","笑纳","花僮","中文","国风 / 古风流行","免费"
"249","借月","王天阳","中文","国风 / 古风流行","免费"
"250","誓缘","石天天","中文","国风 / 古风流行","免费"
"251","芒种","音阙诗听 / 赵方婧","中文","国风 / 古风流行","免费"
"252","千年","金志文 / 吉克隽逸","中文","国风 / 古风流行","免费"
"253","探窗","国风新语 / 浮生梦 / 汐音社","中文","国风 / 古风流行","免费"
"254","天星问","洛天依","中文","国风 / 古风流行","免费"
"255","白石溪","洛天依 / 乐正绫","中文","国风 / 古风流行","免费"
"256","梨园双","张曦匀 / 星火社","中文","国风 / 古风流行","免费"
"257","舍离去","王子健","中文","国风 / 古风流行","免费"
"258","红妆处","郭雨昂","中文","国风 / 古风流行","免费"
"259","问太平","肥皂菌丨珉珉的猫咪丨","中文","国风 / 古风流行","免费"
"260","相思引","董真","中文","国风 / 古风流行","免费"
"261","告死鸟","ilem","中文","国风 / 古风流行","免费"
"262","流光记","银临","中文","国风 / 古风流行","免费"
"263","未归人","陈乐一","中文","国风 / 古风流行","免费"
"264","千秋令","银临 / KBShinya","中文","国风 / 古风流行","免费"
"265","三万天","王子健 / 兰音Reine","中文","国风 / 古风流行","免费"
"266","眉间雪","HITA","中文","国风 / 古风流行","免费"
"267","寄明月","SING女团","中文","国风 / 古风流行","免费"
"268","九千错","画久","中文","国风 / 古风流行","免费"
"269","风催雨","灼夭","中文","国风 / 古风流行","免费"
"270","扶桑树","孟萌 / 刘泓君","中文","国风 / 古风流行","免费"
"271","城中人","洛瑶","中文","国风 / 古风流行","免费"
"272","剑与雪","星尘","中文","国风 / 古风流行","免费"
"273","天下局","忘川风华录 / 赤羽","中文","国风 / 古风流行","免费"
"274","长生诀","西瓜JUN","中文","国风 / 古风流行","免费"
"275","下等马","ChiliChill乐团","中文","国风 / 古风流行","免费"
"276","锦鲤抄","银临 / 云之泣","中文","国风 / 古风流行","免费"
"277","乱世书","风华音纪 / 平生不晚","中文","国风 / 古风流行","免费"
"278","醉歌行","邓寓君(等什么君)","中文","国风 / 古风流行","免费"
"279","是风动","银临 / 河图","中文","国风 / 古风流行","免费"
"280","拜云台","乐正绫","中文","国风 / 古风流行","免费"
"281","说书人","暗杠 / 寅子","中文","国风 / 古风流行","免费"
"282","惊鸿醉","指尖笑","中文","国风 / 古风流行","免费"
"283","武家坡","云了了","中文","国风 / 古风流行","免费"
"284","枫叶城","杨昊昆","中文","国风 / 古风流行","免费"
"285","两相欢","音阙诗听 / 昆玉","中文","国风 / 古风流行","免费"
"286","眉南边","银临","中文","国风 / 古风流行","免费"
"287","相思遥","魏玉慧","中文","国风 / 古风流行","免费"
"288","牵丝戏","银临 / Aki阿杰","中文","国风 / 古风流行","免费"
"289","叹叹叹","周林枫","中文","国风 / 古风流行","免费"
"290","壁上观","一棵小葱 / 张曦匀","中文","国风 / 古风流行","免费"
"291","无情画","王唯旖","中文","国风 / 古风流行","免费"
"292","苏公堤","杨一歌","中文","国风 / 古风流行","免费"
"293","关山酒","邓寓君(等什么君)","中文","国风 / 古风流行","免费"
"294","虞兮叹","闻人听書_","中文","国风 / 古风流行","免费"
"295","半生雪","七叔（叶泽浩）","中文","国风 / 古风流行","免费"
"296","离人赋","云汐","中文","国风 / 古风流行","免费"
"297","三国恋","Tank","中文","国风 / 古风流行","免费"
"298","红颜旧","刘涛","中文","国风 / 古风流行","免费"
"299","九万字","黄诗扶","中文","国风 / 古风流行","免费"
"300","星月落","浮生梦","中文","国风 / 古风流行","免费"
"301","沈园外","阿YueYue / 戾格 / 小田音乐社","中文","国风 / 古风流行","免费"
"302","广寒宫","丸子呦","中文","国风 / 古风流行","免费"
"303","回马枪","张晓棠","中文","国风 / 古风流行","免费"
"304","星河叹","黄龄","中文","国风 / 古风流行","免费"
"305","春三月","司南","中文","国风 / 古风流行","免费"
"306","红昭愿","音阙诗听","中文","国风 / 古风流行","免费"
"307","叹云兮","鞠婧祎","中文","国风 / 古风流行","免费"
"308","踏山河","七叔（叶泽浩）","中文","国风 / 古风流行","免费"
"309","枝雪谣","Lorien / 国风音乐联盟","中文","国风 / 古风流行","免费"
"310","伯虎说","伯爵Johnny / 唐伯虎Annie","中文","国风 / 古风流行","免费"
"311","烟笼长安","少司命","中文","国风 / 古风流行","免费"
"312","青鸟衔风","忘川风华录 / 海伊 / 诗岸","中文","国风 / 古风流行","免费"
"313","天意安排","银临","中文","国风 / 古风流行","免费"
"314","山河图鉴","原来是萝卜丫","中文","国风 / 古风流行","免费"
"315","红拂夜奔","黄诗扶","中文","国风 / 古风流行","免费"
"316","且笑红尘","银临","中文","国风 / 古风流行","免费"
"317","明月天涯","五音Jw","中文","国风 / 古风流行","免费"
"318","此去半生","L（桃籽）","中文","国风 / 古风流行","免费"
"319","麓海为王","祖娅纳惜","中文","国风 / 古风流行","免费"
"320","吉时未到","庄辉辉","中文","国风 / 古风流行","免费"
"321","绝世舞姬","张曦匀 / 戚琦","中文","国风 / 古风流行","免费"
"322","全都是戏","一棵小葱;张曦匀","中文","国风 / 古风流行","免费"
"323","仙舟旧纪","赤羽","中文","国风 / 古风流行","免费"
"324","寰宇记书","星尘infinity","中文","国风 / 古风流行","免费"
"325","万象霜天","祖娅纳惜","中文","国风 / 古风流行","免费"
"326","青城山下","郑鱼 / 阿YueYue","中文","国风 / 古风流行","免费"
"327","归途有风","王菲","中文","国风 / 古风流行","免费"
"328","西厢寻他","伯爵Johnny / 唐伯虎Annie","中文","国风 / 古风流行","免费"
"329","一笑江湖","闻人听書_","中文","国风 / 古风流行","免费"
"330","一花一剑","李鑫一","中文","国风 / 古风流行","免费"
"331","逐月寻歌","苍穹Marvoid","中文","国风 / 古风流行","免费"
"332","霜雪千年","洛天依 / 乐正绫","中文","国风 / 古风流行","免费"
"333","不孝有三","周林枫","中文","国风 / 古风流行","免费"
"334","西楼别序","尹昔眠 / 小田音乐社","中文","国风 / 古风流行","免费"
"335","不负人间","阿YueYue","中文","国风 / 古风流行","免费"
"336","烟雨行舟","司南","中文","国风 / 古风流行","免费"
"337","天若有情","A-Lin","中文","国风 / 古风流行","免费"
"338","凤凰于飞","刘欢","中文","国风 / 古风流行","免费"
"339","左手指月","萨顶顶","中文","国风 / 古风流行","免费"
"340","告女子书","甘璐 / 王文艺Ayi","中文","国风 / 古风流行","免费"
"341","勾指起誓","洛天依 / ilem","中文","国风 / 古风流行","免费"
"342","天和山雨雪","银临 / 司南","中文","国风 / 古风流行","免费"
"343","山花寻海树","黄诗扶","中文","国风 / 古风流行","免费"
"344","折枝花满衣","泽典","中文","国风 / 古风流行","免费"
"345","定影听潮起","星尘 / 沨漪 / 澄宵","中文","国风 / 古风流行","免费"
"346","九九八十一","双笙 (陈元汐)","中文","国风 / 古风流行","免费"
"347","风过谢桃花","司南 / 国风新语 / 汐音社","中文","国风 / 古风流行","免费"
"348","清明上河图","李玉刚","中文","国风 / 古风流行","免费"
"349","辞九门回忆","邓寓君(等什么君)","中文","国风 / 古风流行","免费"
"350","去追一只鹿","万象凡音 / 小时姑娘","中文","国风 / 古风流行","免费"
"351","云裳羽衣曲","周深","中文","国风 / 古风流行","免费"
"352","细柳骑白马","潇湘水茜","中文","国风 / 古风流行","免费"
"353","缘分一道桥","王力宏 / 谭维维","中文","国风 / 古风流行","免费"
"354","三拜红尘凉","尹昔眠","中文","国风 / 古风流行","免费"
"355","吹灭小山河","绯绯er","中文","国风 / 古风流行","免费"
"356","沸雪煮相思","洛天依 / 星尘 / Newbiao好梦一场","中文","国风 / 古风流行","免费"
"357","我恨明月不照我","阿YueYue","中文","国风 / 古风流行","免费"
"358","无关风雪与夜话","河图","中文","国风 / 古风流行","免费"
"359","中元夜话·无明","祖娅纳惜","中文","国风 / 古风流行","免费"
"360","晚夜微雨问海棠","镜予歌 / 陈亦洺 / 喧笑","中文","国风 / 古风流行","免费"
"361","我叫长安你叫故里","尹昔眠 / 小田音乐社","中文","国风 / 古风流行","免费"
"362","盗墓笔记十年人间","李常超（Lao乾妈）","中文","国风 / 古风流行","免费"
